State,Avg °F,Rank
Alabama,62.8,7
Alaska,26.6,50
Arizona,60.3,10
Arkansas,60.4,9
California,59.4,12
Colorado,45.1,39
Connecticut,49,29
Delaware,55.3,16
Florida,70.7,1
Georgia,63.5,5
Hawaii,70,2
Idaho,44.4,40
Illinois,51.8,23
Indiana,51.7,25
Iowa,47.8,36
Kansas,54.3,19
Kentucky,55.6,15
Louisiana,66.4,3
Maine,41,48
Maryland,54.2,20
Massachusetts,47.9,35
Michigan,44.4,40
Minnesota,41.2,47
Mississippi,63.4,6
Missouri,54.5,18
Montana,42.7,45
Nebraska,48.8,30
Nevada,49.9,28
New Hampshire,43.8,42
New Jersey,52.7,22
New Mexico,53.4,21
New York,45.4,37
North Carolina,59,13
North Dakota,40.4,49
Ohio,50.7,26
Oklahoma,59.6,11
Oregon,48.4,33
Pennsylvania,48.8,30
Rhode Island,50.1,27
South Carolina,62.4,8
South Dakota,45.2,38
Tennessee,57.6,14
Texas,64.8,4
Utah,48.6,32
Vermont,42.9,44
Virginia,55.1,17
Washington,48.3,34
West Virginia,51.8,23
Wisconsin,43.1,43
Wyoming,42,46